timestamp,mode,gps_lat,gps_lon,gps_alt,ekf_lat,ekf_lon,ekf_alt,uncertainty,step_count,pressure_hpa
2026-05-01 16:12:00.110,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.4143843476269,12.478305143196831,0,1016.813671875
2026-05-01 16:12:01.278,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.082008466484393,12.488976921636015,0,1015.2015625
2026-05-01 16:12:02.420,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.964126638232884,12.4975215951153,0,1015.626796875
2026-05-01 16:12:03.558,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.89805133693398,12.505239342305355,0,1015.494296875
2026-05-01 16:12:04.727,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.91101405933749,12.511983408254729,0,1015.70765625
2026-05-01 16:12:05.889,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.373785125103314,12.520973178434266,0,1016.661953125
2026-05-01 16:12:07.055,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-19.04411869418671,12.532768409520417,0,1015.251328125
2026-05-01 16:12:08.229,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.913450301353606,12.54526488332047,0,1015.384765625
2026-05-01 16:12:09.387,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.923147800272474,12.557742651340373,0,1015.44296875
2026-05-01 16:12:10.528,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.96637527699404,12.571047261139126,0,1015.61890625
2026-05-01 16:12:11.688,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.959161804935963,12.583561702972013,0,1015.588359375
2026-05-01 16:12:12.824,TRUENORTH ACTIVE,52.198135,0.1202651,56.599998474121094,52.19813764531642,0.12026921001163635,-18.919301851725223,12.59652681739814,0,1015.49515625
